               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.018633,           0.0085375,             0.01075,              0.9847,             0.98518,               0.995,             0.84905,           0.0065083,           0.0018937,          0.00045823,           0.0045352,           0.0045352,           0.0045352
                 140,            0.016337,           0.0083997,           0.0092555,             0.96915,                   1,               0.995,             0.85675,           0.0063967,           0.0019321,          0.00047947,           0.0044956,           0.0044956,           0.0044956
                 141,            0.015685,            0.008767,           0.0095922,             0.97773,                   1,               0.995,             0.84768,           0.0064441,           0.0019746,          0.00044663,            0.004456,            0.004456,            0.004456
                 142,            0.015463,           0.0089596,           0.0078193,               0.974,              0.9852,               0.995,             0.83085,           0.0067072,            0.002165,          0.00047417,           0.0044164,           0.0044164,           0.0044164
                 143,            0.014166,           0.0084646,           0.0064882,             0.96307,             0.99209,               0.992,               0.834,           0.0067244,           0.0020768,          0.00087548,           0.0043768,           0.0043768,           0.0043768
                 144,            0.017012,           0.0094653,            0.011965,             0.93866,             0.98807,             0.99043,             0.83292,            0.009089,           0.0021553,          0.00078543,           0.0043372,           0.0043372,           0.0043372
                 145,            0.015936,           0.0093929,           0.0087494,             0.94461,             0.99111,               0.995,             0.83953,           0.0070162,           0.0020086,          0.00063426,           0.0042976,           0.0042976,           0.0042976
                 146,            0.014128,           0.0081012,           0.0053391,             0.98597,             0.96645,               0.995,             0.84027,           0.0064629,           0.0020481,          0.00043464,            0.004258,            0.004258,            0.004258
                 147,            0.018196,           0.0086226,            0.010632,             0.98069,             0.98599,               0.995,              0.8533,           0.0061157,           0.0020871,          0.00040319,           0.0042184,           0.0042184,           0.0042184
                 148,            0.014129,           0.0080576,            0.007378,             0.98655,                   1,               0.995,             0.84144,             0.00662,           0.0021968,          0.00040697,           0.0041788,           0.0041788,           0.0041788
                 149,            0.018065,           0.0091235,            0.010509,             0.98594,             0.99758,               0.995,             0.82338,           0.0069666,           0.0021584,          0.00041467,           0.0041392,           0.0041392,           0.0041392
                 150,            0.015982,           0.0082872,           0.0099181,             0.98723,                   1,               0.995,             0.86535,           0.0061562,           0.0018583,           0.0004401,           0.0040996,           0.0040996,           0.0040996
                 151,            0.017181,            0.008366,           0.0089277,             0.98125,                   1,               0.995,             0.87226,           0.0061677,           0.0018617,          0.00050244,             0.00406,             0.00406,             0.00406
                 152,            0.015492,           0.0082899,           0.0086536,              0.9819,             0.99053,               0.995,             0.86311,           0.0066432,           0.0019087,          0.00052305,           0.0040204,           0.0040204,           0.0040204
